name,calorie,protein,lipid,carbohydrate,salt
アマランサス,358,12.7,6.0,64.9,1
アワ,367,11.2,4.4,69.7,1
粟餅,214,5.1,1.3,45.3,0
オートミール　,380,13.7,5.7,69.1,3
大麦,341,10.9,2.1,72.1,2
大麦麺,339,12.9,1.7,68.0,1100
キビ,363,11.3,3.3,70.9,2
小麦,337,10.6,3.1,72.2,2
薄力粉,367,8.3,1.5,75.8,Tr
中力粉,367,9.0,1.6,75.1,1
強力粉,365,11.8,1.5,71.7,Tr
お好み焼き粉　,352,10.1,1.9,73.6,1400
ホットケーキミックス,365,7.8,4.0,74.4,390
食パン　,264,9.3,4.4,46.7,500
フランスパン　　,279,9.4,1.3,57.5,620
ライ麦パン　　,264,8.4,2.2,52.7,470
ぶどうパン　　,269,8.2,3.5,51.1,400
ロールパン　　,316,10.1,9.0,48.6,490
クロワッサン　　,448,7.9,26.8,43.9,470
イングリッシュマフィン　　,228,8.1,3.6,40.8,480
ナン　　,262,10.3,3.4,47.6,530
ベーグル　　,275,9.6,2.0,54.6,460
うどん　,270,6.1,0.6,56.8,1000
ひやむぎ,356,9.5,1.1,72.7,1500
そうめん,356,9.5,1.1,72.7,1500
中華麺　,281,8.6,1.2,55.7,410
沖縄そば,284,9.2,2.0,54.2,810
マカロニ,379,12.2,1.9,73.9,1
スパゲッティ,379,12.2,1.9,73.9,1
生麩　,163,12.7,0.8,26.2,7
焼き麩,385,28.5,2.7,56.9,6
小麦胚芽　,426,32.0,11.6,48.3,3
餃子の皮　　,291,9.3,1.4,57.0,2
焼売の皮　　,295,8.3,1.4,58.9,2
ピザ生地,268,9.1,3.0,51.1,510
ちくわぶ　,171,7.1,1.2,31.1,1
パン粉(生),280,11.0,5.1,47.6,350
パン粉(乾燥),373,14.6,6.8,63.4,460
玄米　　,353,6.8,2.7,74.3,1
米(うるち米),358,6.1,0.9,77.6,1
米(もち米)　,359,6.4,1.2,77.2,Tr
胚芽精米,357,6.5,2.0,75.8,1
発芽玄米,356,6.5,3.3,74.3,3
玄米,165,2.8,1.0,35.6,1
おにぎり,179,2.7,0.3,39.4,200
焼きおにぎり,181,3.1,0.3,39.5,380
きりたんぽ,210,3.2,0.4,46.2,1
上新粉,362,6.2,0.9,78.5,2
玄米粉,395,7.1,2.9,84.1,3
米粉,374,6.0,0.7,81.9,1
米粉パン,255,3.4,3.1,51.3,340
米粉めん,265,3.6,0.7,58.4,48
ビーフン,377,7.0,1.6,79.9,2
米麹,286,5.8,1.7,59.2,3
もち,234,4.0,0.6,50.8,0
赤飯,190,4.3,0.6,41.9,0
あくまき,132,2.3,1.8,25.7,16
白玉粉,369,6.3,1.0,80.0,2
道明寺粉,372,7.1,0.7,80.4,4
米ぬか,412,13.4,19.6,48.8,7
そば粉,361,12.0,3.1,69.6,2
そば(生),274,9.8,1.9,54.5,1
そば(乾),344,14.0,2.3,66.7,850
とうもろこし,350,8.6,5.0,70.6,3
コーンミール,363,8.3,4.0,72.4,2
コーングリッツ,355,8.2,1.0,76.4,1
コーンフラワー,363,6.6,2.8,76.1,1
ジャイアントコーン,435,5.7,11.8,76.6,430
ポップコーン,484,10.2,22.8,59.6,570
コーンフレーク,381,7.8,1.7,83.6,830
はとむぎ,360,13.3,1.3,72.2,1
ひえ,366,9.4,3.3,73.2,6
もろこし,352,10.3,4.7,71.1,2
ライ麦,334,12.7,2.7,70.7,1
