原材料名,個,大さじ,小さじ,カップ,合,升,切れ,片,丁,本,束,枚,尾,杯
オートミール,,6,2,80,,,,,,,,,,
薄力粉,,9,3,110,,,,,,,,,,
中力粉,,9,3,110,,,,,,,,,,
強力粉,,9,3,110,,,,,,,,,,
小麦粉,,9,3,110,,,,,,,,,,
パン粉(生),,3,1,40,,,,,,,,,,
パン粉(乾燥),,4,2,45,,,,,,,,,,
玄米,,,,,150,1500,,,,,,,,
お米,,,,,140,1400,,,,,,,,
お米(うるち米),,,,,140,1400,,,,,,,,
お米(もち米),,,,,140,1400,,,,,,,,
胚芽精米,,,,,140,1400,,,,,,,,
発芽玄米,,,,,150,1500,,,,,,,,
上新粉,,9,3,130,,,,,,,,,,
玄米粉,,7,2,85,,,,,,,,,,
米粉,,9,3,100,,,,,,,,,,
白玉粉,,9,3,110,,,,,,,,,,
道明寺粉,,12,4,150,,,,,,,,,,
コーングリッツ,,9,3,130,,,,,,,,,,
コーンフラワー,,8,3,120,,,,,,,,,,
さつま芋,250,,,,,,,,,,,,,
里芋,50,,,,,,,,,,,,,
じゃが芋,150,,,,,,,,,,,,,
くず粉,,9,3,130,,,,,,,,,,
米でん粉,,9,3,130,,,,,,,,,,
小麦でん粉,,9,3,130,,,,,,,,,,
サゴでん粉,,9,3,130,,,,,,,,,,
さつまいもでん粉,,9,3,130,,,,,,,,,,
片栗粉,,9,3,130,,,,,,,,,,
とうもろこしでん粉,,9,3,130,,,,,,,,,,
黒砂糖,,9,3,130,,,,,,,,,,
和三盆糖,,9,3,130,,,,,,,,,,
上白糖,,9,3,130,,,,,,,,,,
砂糖,,9,3,130,,,,,,,,,,
三温糖,,9,3,130,,,,,,,,,,
グラニュー糖,,12,4,180,,,,,,,,,,
ざらめ,,15,5,200,,,,,,,,,,
角砂糖,4,,,,,,,,,,,,,
コーヒーシュガー,,8,3,110,,,,,,,,,,
粉糖,,9,3,,,,,,,,,,,
水あめ,,21,7,280,,,,,,,,,,
ぶどう糖,,21,7,280,,,,,,,,,,
果糖,,21,7,280,,,,,,,,,,
黒蜜,,21,7,280,,,,,,,,,,
はちみつ,,21,7,280,,,,,,,,,,
